出口国,进口国,税则号,商品名称,关税
US,CN,01063190,其他猛禽,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106321010,改良种用虎皮鹦鹉,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106321090,改良种用其他鹦形目的鸟,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106329010,非改良种用虎皮鹦鹉,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106329090,非改良种用其他鹦形目的鸟,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106331010,改良种用濒危鸵鸟,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106331090,其他改良种用鸵鸟和改良种用鸸鹋,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106339010,其他濒危鸵鸟,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106339090,其他鸵鸟、鸸鹋,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106391010,其他濒危改良种用的鸟,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
